dataset,backbone,regime,event_recall_base,event_recall_bech,event_recall_delta,complete_miss_rate_base,complete_miss_rate_bech,complete_miss_rate_delta,boundary_mismatch_rate_base,boundary_mismatch_rate_bech,boundary_mismatch_rate_delta,fragmented_rate_base,fragmented_rate_bech,fragmented_rate_delta,exact_boundary_rate_base,exact_boundary_rate_bech,exact_boundary_rate_delta,point_recall_base,point_recall_bech,point_recall_delta,point_precision_base,point_precision_bech,point_precision_delta,mae_on_true_event_hours_base,mae_on_true_event_hours_bech,mae_on_true_event_hours_delta
UNIELEC_DE,GBDT,negative,0.16806722689075626,0.16806722689075626,0.0,0.8319327731092437,0.8319327731092437,0.0,0.14285714285714285,0.14285714285714285,0.0,0.01680672268907563,0.01680672268907563,0.0,0.008403361344537815,0.008403361344537815,0.0,0.12115732368896925,0.12115732368896925,0.0,0.7282608695652174,0.7282608695652174,0.0,42.822147495974406,42.822147495974406,0.0
UNIELEC_DE,GBDT,spike,0.40417801998183467,0.40417801998183467,0.0,0.5958219800181653,0.5958219800181653,0.0,0.28247048138056313,0.28247048138056313,0.0,0.07811080835603997,0.07811080835603997,0.0,0.043596730245231606,0.043596730245231606,0.0,0.28074179743223965,0.28074179743223965,0.0,0.8872858431018936,0.8872858431018936,0.0,56.809150470146555,56.809150470146555,0.0
UNIELEC_DE,Linear,negative,0.11764705882352944,0.11764705882352944,0.0,0.8823529411764706,0.8823529411764706,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059674502712477394,0.059674502712477394,0.0,0.6226415094339622,0.6226415094339622,0.0,45.99838312805342,45.99838312805342,0.0
UNIELEC_DE,Linear,spike,0.9173478655767484,0.9173478655767484,0.0,0.08265213442325159,0.08265213442325159,0.0,0.5712988192552225,0.5712988192552225,0.0,0.11171662125340599,0.11171662125340599,0.0,0.23433242506811988,0.23433242506811988,0.0,0.8347123157394198,0.8347123157394198,0.0,0.8693541996830428,0.8693541996830428,0.0,22.889107139569067,22.889107139569067,0.0
UNIELEC_DK,GBDT,negative,0.009615384615384581,0.009615384615384581,0.0,0.9903846153846154,0.9903846153846154,0.0,0.009615384615384616,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.005649717514124294,0.0,0.375,0.375,0.0,35.708996964918306,35.708996964918306,0.0
UNIELEC_DK,GBDT,spike,0.10869565217391308,0.10869565217391308,0.0,0.8913043478260869,0.8913043478260869,0.0,0.09213250517598344,0.09213250517598344,0.0,0.008281573498964804,0.008281573498964804,0.0,0.008281573498964804,0.008281573498964804,0.0,0.03113926769032535,0.03113926769032535,0.0,0.7268170426065163,0.7268170426065163,0.0,69.33248624667509,69.33248624667509,0.0
UNIELEC_DK,Linear,negative,0.028846153846153855,0.028846153846153855,0.0,0.9711538461538461,0.9711538461538461,0.0,0.028846153846153848,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013182674199623353,0.013182674199623353,0.0,0.4117647058823529,0.4117647058823529,0.0,38.626755703626216,38.626755703626216,0.0
UNIELEC_DK,Linear,spike,0.8302277432712215,0.8302277432712215,0.0,0.16977225672877846,0.16977225672877846,0.0,0.577639751552795,0.577639751552795,0.0,0.09420289855072464,0.09420289855072464,0.0,0.15838509316770186,0.15838509316770186,0.0,0.7081498979920541,0.7081498979920541,0.0,0.793049543049543,0.793049543049543,0.0,31.51948320974615,31.51948320974615,0.0
UNIELEC_FI,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.94685834295116,25.94685834295116,0.0
UNIELEC_FI,GBDT,spike,0.4496268656716418,0.4496268656716418,0.0,0.5503731343283582,0.5503731343283582,0.0,0.3358208955223881,0.3358208955223881,0.0,0.06343283582089553,0.06343283582089553,0.0,0.05037313432835821,0.05037313432835821,0.0,0.37561436672967863,0.37561436672967863,0.0,0.7447526236881559,0.7447526236881559,0.0,91.46598586740546,91.46598586740546,0.0
UNIELEC_FI,Linear,negative,0.1728971962616822,0.1728971962616822,0.0,0.8271028037383178,0.8271028037383178,0.0,0.14018691588785046,0.14018691588785046,0.0,0.02336448598130841,0.02336448598130841,0.0,0.009345794392523364,0.009345794392523364,0.0,0.1513094083414161,0.1513094083414161,0.0,0.46846846846846846,0.46846846846846846,0.0,21.035715972991635,21.035715972991635,0.0
UNIELEC_FI,Linear,spike,0.5895522388059702,0.5914179104477613,0.001865671641791078,0.41044776119402987,0.4085820895522388,-0.001865671641791078,0.4291044776119403,0.43097014925373134,0.0018656716417910224,0.06343283582089553,0.06343283582089553,0.0,0.09701492537313433,0.09701492537313433,0.0,0.586578449905482,0.5869565217391305,0.0003780718336484634,0.7557233317096931,0.755842259006816,0.00011892729712292827,59.223837705429744,59.201515715758845,-0.02232198967089971
UNIELEC_IE,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,53.97831764108361,53.97831764108361,0.0
UNIELEC_IE,GBDT,spike,0.05555555555555558,0.05555555555555558,0.0,0.9444444444444444,0.9444444444444444,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.25,0.25,0.0,138.0467029169352,138.0467029169352,0.0
UNIELEC_IE,Linear,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.93506934478361,52.93506934478361,0.0
UNIELEC_IE,Linear,spike,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,139.75281096527215,139.75281096527215,0.0
UNIELEC_NL,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,61.31550989972921,61.31550989972921,0.0
UNIELEC_NL,GBDT,spike,0.05820533548908646,0.05820533548908646,0.0,0.9417946645109135,0.9417946645109135,0.0,0.054163298302344384,0.054163298302344384,0.0,0.0008084074373484236,0.0008084074373484236,0.0,0.0032336297493936943,0.0032336297493936943,0.0,0.011248367982323993,0.011248367982323993,0.0,0.896,0.896,0.0,68.79987341756585,68.79987341756585,0.0
UNIELEC_NL,Linear,negative,0.2682926829268293,0.2682926829268293,0.0,0.7317073170731707,0.7317073170731707,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.018292682926829267,0.018292682926829267,0.0,0.18351063829787234,0.18351063829787234,0.0,0.563265306122449,0.563265306122449,0.0,50.87183707472528,50.87183707472528,0.0
UNIELEC_NL,Linear,spike,0.788197251414713,0.788197251414713,0.0,0.211802748585287,0.211802748585287,0.0,0.5521422797089733,0.5521422797089733,0.0,0.0856911883589329,0.0856911883589329,0.0,0.15036378334680678,0.15036378334680678,0.0,0.7257205985738676,0.7257205985738676,0.0,0.8896823442501847,0.8896823442501847,0.0,26.340330878322096,26.340330878322096,0.0
