dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
NEM_VIC1,GBDT,spike,bech,12,28,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5083333333333333,2.25,1.75,0.8571428571428571,0.2571428571428571,0.140625,2820.9681111510986,484.9847916666659
NEM_NSW1,Linear,negative,base,236,131,0.4661016949152542,0.5338983050847458,0.4152542372881356,0.029661016949152543,0.0211864406779661,0.5362024843843026,3.4909090909090907,2.890909090909091,0.16793893129770993,0.4419889502762431,0.7395993836671803,42.089834899663465,594.5980833333329
NEM_NSW1,Linear,negative,bech,236,131,0.4661016949152542,0.5338983050847458,0.4152542372881356,0.029661016949152543,0.0211864406779661,0.5362024843843026,3.4909090909090907,2.890909090909091,0.16793893129770993,0.4419889502762431,0.7395993836671803,42.089834899663465,594.5980833333329
NEM_NSW1,Linear,spike,base,33,23,0.12121212121212122,0.8787878787878788,0.09090909090909091,0.0,0.030303030303030304,0.4666666666666666,2.5,2.0,0.8260869565217391,0.09836065573770492,0.11764705882352941,2653.0945195971894,594.5980833333329
NEM_NSW1,Linear,spike,bech,33,23,0.12121212121212122,0.8787878787878788,0.09090909090909091,0.0,0.030303030303030304,0.4666666666666666,2.5,2.0,0.8260869565217391,0.09836065573770492,0.11764705882352941,2653.0945195971894,594.5980833333329
NEM_NSW1,GBDT,negative,base,236,64,0.06779661016949157,0.9322033898305084,0.05508474576271186,0.012711864406779662,0.0,0.2403612012987013,6.0625,6.0625,0.703125,0.027624309392265192,0.30612244897959184,65.51852690088889,594.5980833333329
NEM_NSW1,GBDT,negative,bech,236,108,0.19067796610169496,0.809322033898305,0.13983050847457626,0.0423728813559322,0.00847457627118644,0.3377200577200577,5.022222222222222,4.533333333333333,0.48148148148148145,0.10313075506445672,0.509090909090909,58.8137129402761,594.5980833333329
NEM_NSW1,GBDT,spike,base,33,47,0.12121212121212122,0.8787878787878788,0.030303030303030304,0.0,0.09090909090909091,0.875,0.25,0.25,0.9148936170212766,0.09836065573770492,0.08571428571428572,2699.9119260032107,594.5980833333329
NEM_NSW1,GBDT,spike,bech,33,47,0.12121212121212122,0.8787878787878788,0.030303030303030304,0.0,0.09090909090909091,0.875,0.25,0.25,0.9148936170212766,0.09836065573770492,0.08571428571428572,2700.5317543531996,594.5980833333329
GEFCOM14P,Linear,negative,base,0,0,,,,,,,,,,,,,139.7256
GEFCOM14P,Linear,negative,bech,0,0,,,,,,,,,,,,,139.7256
GEFCOM14P,Linear,spike,base,13,9,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.6666666666666667,2.4285714285714284,2.4285714285714284,0.1111111111111111,0.4084507042253521,0.8285714285714286,54.84911225025631,139.7256
GEFCOM14P,Linear,spike,bech,13,9,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.6666666666666667,2.4285714285714284,2.4285714285714284,0.1111111111111111,0.4084507042253521,0.8285714285714286,54.84911225025631,139.7256
GEFCOM14P,GBDT,negative,base,0,0,,,,,,,,,,,,,139.7256
GEFCOM14P,GBDT,negative,bech,0,0,,,,,,,,,,,,,139.7256
GEFCOM14P,GBDT,spike,base,13,12,0.46153846153846156,0.5384615384615384,0.3076923076923077,0.0,0.15384615384615385,0.7888888888888889,2.1666666666666665,2.1666666666666665,0.5,0.4507042253521127,0.5,60.26608202091273,139.7256
