dataset,backbone,method,n,mae,rmse,rmae,neg_n,mae_on_neg,neg_miss_rate,spike_thr,spike_n,mae_on_spike,spike_miss_rate,normal_n,mae_on_normal,touch_rate,status,seed,neg_thr,spike_thr_source,n_full,n_valid,n_S1,n_S2,n_S3,n_S4,s1_range,s2_range,s3_range,s4_range,duration_s
LAGO_BE,Linear,VahediStyle,10446,6.894393465041269,14.800819348913565,0.7833160991120942,2,17.213790462773325,1.0,89.88789999999995,167,61.52724613971541,0.8502994011976048,10277,6.004608003265843,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.1
LAGO_BE,Linear,SpikeRegularization,10446,7.01959665109246,14.966627862329185,0.7975412331708505,2,17.81794951009663,1.0,89.88789999999995,167,65.26557959769495,0.8982035928143712,10277,6.071005052590891,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.1
LAGO_BE,Linear,CRC,10446,7.0352935544490425,14.728430448388002,0.7993246586698105,2,17.276667639345703,1.0,89.88789999999995,167,64.3767072239971,0.8502994011976048,10277,6.101509489937579,0.892303273980471,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.1
LAGO_BE,Linear,DeltaAdapter,10446,6.899295702204371,14.812056843989822,0.7838730736031781,2,17.0103361567268,1.0,89.88789999999995,167,61.77889854196494,0.8502994011976048,10277,6.005541128384281,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.1
LAGO_BE,Linear,HCH,10446,6.894393465041269,14.800819348913565,0.7833160991120942,2,17.213790462773325,1.0,89.88789999999995,167,61.52724613971541,0.8502994011976048,10277,6.004608003265843,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.1
LAGO_BE,MLP,Identity,10446,7.766098967811977,16.045441037000458,0.8823561317802632,2,9.505096726338005,0.5,89.88789999999995,167,68.26196913846961,0.9461077844311377,10277,6.78271001052708,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,QuantileCorrection,10446,6.96935078729328,16.080077829397453,0.7918324794962507,2,16.21789094537858,1.0,89.88789999999995,167,75.23798587217786,0.9700598802395209,10277,5.858193918606708,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,VahediStyle,10446,7.766098967811977,16.045441037000458,0.8823561317802632,2,9.505096726338005,0.5,89.88789999999995,167,68.26196913846961,0.9461077844311377,10277,6.78271001052708,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,SpikeRegularization,10446,7.035024738309254,16.18341279439639,0.7992941167503413,2,16.818541509565783,1.0,89.88789999999995,167,75.95060729974757,0.9700598802395209,10277,5.9132509403815785,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,CRC,10446,6.787739815521749,15.109452822795134,0.7711984964366283,2,18.952695299043913,1.0,89.88789999999995,167,65.82179924881483,0.8982035928143712,10277,5.826076116355942,0.9282021826536473,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,DeltaAdapter,10446,7.721522793788012,16.029600965345807,0.877291547792296,2,9.275460382712867,0.5,89.88789999999995,167,68.44514185673242,0.9520958083832335,10277,6.734468959138838,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
LAGO_BE,MLP,HCH,10446,7.766098967811977,16.045441037000458,0.8823561317802632,2,9.505096726338005,0.5,89.88789999999995,167,68.26196913846961,0.9461077844311377,10277,6.78271001052708,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",98.6
