cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
LAGO_FR:PatchTST,B1_ResidualL1,OK,,10488,6.244598,20.762846,15.523129,0.168033,0.0002,4.946509,0.0501,25.4274,6.186356,0.166466,0.058241,0.009414,,,,
LAGO_FR:PatchTST,B2_QuantileResidual,OK,,10488,6.244598,20.762846,15.523129,0.168033,0.0002,4.946509,0.0501,25.4274,6.186356,0.166466,0.058241,0.009414,,,,
LAGO_FR:PatchTST,B3_DeltaAdapter,OK,,10488,6.329469,19.026947,15.693706,0.170317,0.0002,5.176208,0.0501,25.291497,6.186356,0.166466,0.143113,0.023134,,,,
LAGO_FR:PatchTST,B4_PIR,OK,,10488,6.404821,19.876013,16.057163,0.172344,0.0002,5.244986,0.0501,28.915483,6.186356,0.166466,0.218465,0.035314,,,,
LAGO_FR:PatchTST,B5_HCH-Universal,OK,C0,10488,6.20142,18.374625,15.211674,0.166871,0.0002,11.600033,0.0501,21.34336,6.186356,0.166466,0.015063,0.002435,-0.014072,0.0005188333934517339,0.0005188333934517339,
LAGO_FR:PatchTST,B6_HCH-Local,OK,C0,10488,6.187883,18.460282,15.203253,0.166507,0.0002,5.452707,0.0501,21.34336,6.186356,0.166466,0.001527,0.000247,-0.007045,-0.0001388011465845506,-0.0001388011465845506,
LAGO_PJM:Linear,B0_Identity,OK,,10488,6.106035,23.8244,8.281762,0.214927,0.0057,10.36308,0.0501,11.239183,6.106035,0.214927,0.0,0.0,,,,
LAGO_PJM:Linear,B1_ResidualL1,OK,,10488,5.291517,19.619003,7.519431,0.186257,0.0057,15.357824,0.0501,13.369965,6.106035,0.214927,-0.814518,-0.133396,,,,
LAGO_PJM:Linear,B2_QuantileResidual,OK,,10488,5.292471,19.62062,7.520276,0.18629,0.0057,15.357824,0.0501,13.383602,6.106035,0.214927,-0.813564,-0.133239,,,,
LAGO_PJM:Linear,B3_DeltaAdapter,OK,,10488,6.469468,23.660428,8.766433,0.22772,0.0057,14.975586,0.0501,11.805591,6.106035,0.214927,0.363433,0.05952,,,,
LAGO_PJM:Linear,B4_PIR,OK,,10488,7.292965,25.011201,9.747188,0.256706,0.0057,15.510322,0.0501,10.597151,6.106035,0.214927,1.186929,0.194386,,,,
LAGO_PJM:Linear,B5_HCH-Universal,OK,C0,10488,6.089058,24.103076,8.219779,0.21433,0.0057,9.857746,0.0501,11.450801,6.106035,0.214927,-0.016977,-0.00278,-0.041721,-0.0006768883955733827,-0.0006768883955733827,
