variant,mae_base,mae_bech,mae_gain_pct,tail_base,tail_bech,tail_gain_pct,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_normal_base,mae_normal_bech,tau_neg,tau_pos,lam_neg,lam_pos,fire_rate,n_fired,harm_rate,worst_harm,dm_p,dataset,backbone,tier,family
alpha=0.10,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,alpha
alpha=0.20,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,alpha
no-SCARR (lambda=1),6.664246267347285,6.548069562176306,1.7432834938919974,35.76571648679787,33.685507481537506,5.816209514573064,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.961868745590225,0.5,0.5,1.0,1.0,0.036951943327589505,386,0.3160621761658031,27.21059058424742,0.005054675093763006,LAGO_DE,GBDT,L1,safety
A0 v0,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,1.01,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,ladder
A1 +L1 magnitude,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,1.01,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,ladder
A2 +Bayes gate,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,ladder
A3 +two-tier cert,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,ladder
A4 +S2b reuse (=v1),8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,ladder
rho=0.00,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,rho
rho=0.10,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,rho
rho=0.25,8.50167494478965,8.50167494478965,0.0,74.25484357679252,74.25484357679252,0.0,1.0,1.0,33.57261012208192,33.57261012208192,7.532949927187038,7.532949927187038,1.01,0.5,0.0,0.0,0.0,0,,,,LAGO_BE,GBDT,L2,rho
