Timestamp,North Macedonia
2024-02-02 16:00:00,99.56
2024-02-02 17:00:00,110.0
2024-02-02 18:00:00,113.18
2024-02-02 19:00:00,105.6
2024-02-02 20:00:00,100.22
2024-02-02 21:00:00,84.97
2024-02-02 22:00:00,86.11
2024-02-02 23:00:00,75.77
2024-02-03 00:00:00,83.57
2024-02-03 01:00:00,69.95
2024-02-03 02:00:00,59.73
2024-02-03 03:00:00,55.27
2024-02-03 04:00:00,55.18
2024-02-03 05:00:00,62.52
2024-02-03 06:00:00,66.68
2024-02-03 07:00:00,72.5
2024-02-03 08:00:00,78.88
2024-02-03 09:00:00,68.0
2024-02-03 10:00:00,57.68
2024-02-03 11:00:00,50.0
2024-02-03 12:00:00,46.04
2024-02-03 13:00:00,47.75
2024-02-03 14:00:00,70.01
2024-02-03 15:00:00,75.62
2024-02-03 16:00:00,89.05
2024-02-03 17:00:00,102.67
2024-02-03 18:00:00,106.92
2024-02-03 19:00:00,102.67
2024-02-03 20:00:00,102.67
2024-02-03 21:00:00,80.47
2024-02-03 22:00:00,90.0
2024-02-03 23:00:00,80.0
2024-02-04 00:00:00,76.18
2024-02-04 01:00:00,52.92
2024-02-04 02:00:00,40.52
