bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
2,1044,24.63895149230957,29.005192375183107,0.5277777777777778,0.4722222222222222,4.789337355515053,4.786792327617777,2.5277058265218333,2.26042971026395,-0.7782557537222188,0.2594129582632388,LAGO_FR,Linear,COMPUTED
3,1045,29.005192375183107,33.58067245483398,0.47368421052631576,0.5263157894736842,5.072641415066189,4.917047103535046,2.402830143978721,2.58791952817634,-0.3400719875757806,0.7332514141234159,LAGO_FR,Linear,COMPUTED
4,1044,33.58067245483398,37.9942741394043,0.46934865900383144,0.5306513409961686,5.219048581804548,5.67256471482425,2.4495534531458127,3.010154072809037,-0.02853433778831783,1.162256314251539,LAGO_FR,Linear,COMPUTED
5,1044,37.9942741394043,41.973680114746095,0.43486590038314177,0.5651340996168582,4.759023237858575,5.497924959861626,2.069536925275664,3.1070648719524514,0.4856301321886565,1.5787047505996152,LAGO_FR,Linear,COMPUTED
6,1045,41.973680114746095,45.81208801269531,0.4019138755980861,0.5980861244019139,4.886837932041713,5.2106446990966795,1.9640879726866214,3.1164142937181096,0.6361413891814733,1.655778236679139,LAGO_FR,Linear,COMPUTED
7,1044,45.81208801269531,50.07880477905273,0.3381226053639847,0.6618773946360154,4.563258562817452,5.783627991738436,1.5429408742093491,3.828052626715766,1.6353100820853477,2.916457326030203,LAGO_FR,Linear,COMPUTED
8,1044,50.07880477905273,56.74420051574708,0.28544061302681994,0.7145593869731801,4.887439727783203,5.8062690167260875,1.3950737920300715,4.148924029193163,2.167341606358515,3.320302009977082,LAGO_FR,Linear,COMPUTED
9,1044,56.74420051574708,87.25687408447266,0.1781609195402299,0.8218390804597702,5.783337029077673,8.809465448339502,1.0303646431115394,7.239962983405453,5.352548807926289,7.005214319344374,LAGO_FR,Linear,COMPUTED
0,1045,0.4991582930088043,16.99003028869629,0.7885167464114833,0.21148325358851675,5.399472583663984,2.9497766083789085,4.25757455400873,0.6238283544992715,-4.179846367933069,-3.015691239854089,LAGO_FR,LSTM,COMPUTED
1,1044,16.99003028869629,23.30792808532715,0.603448275862069,0.39655172413793105,4.970113254728771,3.7128811095647767,2.9992062744052927,1.4723494055170667,-2.0226041984015106,-1.0348623200535103,LAGO_FR,LSTM,COMPUTED
2,1044,23.30792808532715,28.910994338989262,0.5862068965517241,0.41379310344827586,3.8825348810432785,4.757119377454122,2.2759687233701977,1.9684631906706709,-0.7961704601533611,0.16800089285513956,LAGO_FR,LSTM,COMPUTED
3,1045,28.910994338989262,34.00380935668945,0.45933014354066987,0.5406698564593302,4.059955716133118,4.560148261078691,1.8648600418601882,2.46553470575068,0.057069401049462655,1.132359662648115,LAGO_FR,LSTM,COMPUTED
4,1044,34.00380935668945,38.344932556152344,0.41762452107279696,0.5823754789272031,3.5554753312277136,4.652451781850112,1.484853682390118,2.7094738346406784,0.8030848442032748,1.662662753308107,LAGO_FR,LSTM,COMPUTED
5,1044,38.344932556152344,42.46433792114258,0.36398467432950193,0.6360153256704981,3.506361840900622,4.76062020336289,1.2762619727416058,3.027827409035402,1.3367306980964897,2.1742303464174273,LAGO_FR,LSTM,COMPUTED
6,1045,42.46433792114258,46.547066879272464,0.3435406698564593,0.6564593301435406,3.861954904200307,4.505760115020129,1.3267385747444116,2.9578482668935964,1.242600135019993,2.06284109431049,LAGO_FR,LSTM,COMPUTED
7,1044,46.547066879272464,51.17375564575195,0.27586206896551724,0.7241379310344828,3.50562314192454,4.903721236678027,0.9670684529447007,3.550970550697882,2.1571902623688834,3.0217791169238786,LAGO_FR,LSTM,COMPUTED
8,1044,51.17375564575195,56.90209655761719,0.23467432950191572,0.7653256704980843,3.8368306218361368,5.155345506154849,0.9004056535918138,3.945518256147246,2.5893868367667876,3.49395947381999,LAGO_FR,LSTM,COMPUTED
9,1044,56.90209655761719,96.63551330566406,0.19923371647509577,0.8007662835249042,5.1516328408167915,7.136493436457438,1.0263789567910848,5.714663326511895,3.99095548132225,5.349658023033305,LAGO_FR,LSTM,COMPUTED
0,1045,-5.233010292053223,19.57784652709961,0.6526315789473685,0.3473684210526316,5.094956107464922,3.9526633768247508,3.3251292490823703,1.3730304361601766,-2.561219374376198,-1.2894647960857983,LAGO_FR,MLP,COMPUTED
1,1044,19.57784652709961,25.552728271484376,0.48084291187739464,0.5191570881226054,4.253299321786341,5.239640698551692,2.045168830973892,2.7201966078687905,0.16479266575859886,1.2333280657663042,LAGO_FR,MLP,COMPUTED
2,1044,25.552728271484376,30.565719604492188,0.4051724137931034,0.5948275862068966,3.218957851400894,5.2166235719518,1.3042329225503622,3.102991607454088,1.3095150404755933,2.2874250413942825,LAGO_FR,MLP,COMPUTED
