candidate,mean_gain,gain_ci_lo,gain_ci_hi,harm_rate,tail_gain,normal_gain,dataset,backbone,evidence_status
partial_moment_pos,1.128550764167404,1.0225733081482489,1.234666130408188,0.12160091918805055,2.575615118535151,1.0521130906100753,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.5790446261588783,0.4834900040448365,0.6723049074506067,0.13577173496744543,0.773718722776101,0.5687614379907912,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.1322390565965659,0.962016139747178,1.3052232201655178,0.20011489850631942,4.321935137850436,0.9637510781109786,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.005856489963252864,-0.04603654532021526,0.03536113145339344,0.504787437763309,0.2996050167724424,-0.021991755036791603,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.006626038202514415,-0.009871953136374048,0.023834187999025088,0.4890846418996553,0.12634443326760794,0.0003022036244792323,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.6215188319206082,0.5688533407628857,0.6751942971849337,0.0762160091918805,0.533424041242934,0.6261722261055982,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.8576119104844135,0.7808025689250744,0.9372046706337046,0.0959402527767139,1.869206317503481,0.8041768833394548,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.6967048384048422,0.5960532689408863,0.7963869076527814,0.15855993872079663,1.1168966894028072,0.6745092204690626,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.8867157507129113,0.7453055039778878,1.0348230254740711,0.17598621217924168,3.5780774890040976,0.7445510782467236,LAGO_FR,PatchTST,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.002970735571907952,-0.005856586371995644,-0.00023287396892534594,0.5308310991957105,0.016613248405481607,-0.0040052121449071585,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.0103728562102652,-0.009674418375193507,0.031070431493451334,0.48506319417847565,-0.12149432233271708,0.017338420883301765,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.7933579531386645,0.7284735897416609,0.8600374029817957,0.08693986978169284,0.7394987362453699,0.7962029359664957,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.6956471551886217,0.6264635864067413,0.7632368124990668,0.08540788969743393,1.545880892763827,0.6507356150183186,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.85797012262029,0.7438825723321427,0.9747753797219958,0.1664113366526235,1.398139898867966,0.8294369610523683,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.7275710464350021,0.5899919905428858,0.8639309175869373,0.17043278437380313,3.2815406593547576,0.592663780591257,LAGO_FR,TCN,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_PJM,Linear,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.1788943072389606,0.0951142547688046,0.25873125804080643,0.4159325928762926,-0.18031051994900024,0.19786843319122782,LAGO_PJM,Linear,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.22541943104022402,0.07607478993415948,0.369545996692131,0.44408272692455,-0.32658959891049916,0.2545779725416533,LAGO_PJM,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.321457405507562,1.2051662338795828,1.447121249619783,0.09287629260819609,1.3167109634188323,1.3217081248275715,LAGO_PJM,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.5891014017206008,0.5130811580749403,0.6639031445836459,0.05132133282267331,1.2212384621655747,0.555710290866451,LAGO_PJM,Linear,INVALID_ORACLE_DIAGNOSTIC
