model,episode_recall,episode_precision,complete_miss_rate,boundary_l1_error,duration_abs_error,event_magnitude_mae,point_recall,point_precision,overall_mae,overall_mae_ci_low,overall_mae_ci_high,normal_hour_mae,normal_hour_harm,exact_fallback_count,exact_fallback_rate,dataset,backbone
E0_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.98754793737318,23.735327094917213,26.31232689933107,23.77519875140301,387250.4372628522,17040,1.0,UNIELEC_NL,linear
E0_NoInsert_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.98754793737318,23.735327094917213,26.31232689933107,23.77519875140301,387250.4372628522,17040,1.0,UNIELEC_NL,linear
E0_NoShift_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.98754793737318,23.735327094917213,26.31232689933107,23.77519875140301,387250.4372628522,17040,1.0,UNIELEC_NL,linear
E0_NoMatching_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.98754793737318,23.735327094917213,26.31232689933107,23.77519875140301,387250.4372628522,17040,1.0,UNIELEC_NL,linear
Oracle_linear,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,UNIELEC_NL,linear
B0_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.09528257917705,34.993422629445654,41.27476114516829,37.07898486783436,604609.9272549071,17058,1.0,UNIELEC_NL,gbdt
B1_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.09528257917705,34.993422629445654,41.27476114516829,37.07898486783436,604609.9272549071,17058,1.0,UNIELEC_NL,gbdt
B2_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.09528257917705,34.993422629445654,41.27476114516829,37.07898486783436,604609.9272549071,17058,1.0,UNIELEC_NL,gbdt
B3_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.09528257917705,34.993422629445654,41.27476114516829,37.07898486783436,604609.9272549071,17058,1.0,UNIELEC_NL,gbdt
B4_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.09528257917705,34.993422629445654,41.27476114516829,37.07898486783436,604609.9272549071,17058,1.0,UNIELEC_NL,gbdt
E0_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.06313049469885,34.981638157496036,41.235999928376735,37.08218881583384,603994.6914323015,17040,1.0,UNIELEC_NL,gbdt
E0_NoInsert_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.06313049469885,34.981638157496036,41.235999928376735,37.08218881583384,603994.6914323015,17040,1.0,UNIELEC_NL,gbdt
E0_NoShift_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.06313049469885,34.981638157496036,41.235999928376735,37.08218881583384,603994.6914323015,17040,1.0,UNIELEC_NL,gbdt
E0_NoMatching_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.06313049469885,34.981638157496036,41.235999928376735,37.08218881583384,603994.6914323015,17040,1.0,UNIELEC_NL,gbdt
Oracle_gbdt,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,UNIELEC_NL,gbdt
